symptom_id	canonical	n_conditions
1143	leg pain	1
1144	leaning to one side	1
1145	uneven shoulders	1
1146	rib protrusion	1
1147	clothes not fitting well	1
1148	feeling irritable and sad	1
1149	swollen and bleeding gums	1
1150	abnormal temperature	1
1151	not peeing	1
1152	non fading rash	1
1153	high temperature in baby	1
1154	inability to urinate	1
1155	fast breathing	1
1156	confusion and slurred speech	1
1157	shin pain and tenderness	1
1158	skin tingling or pain	1
1159	pain without rash	1
1160	shingles rash	1
1161	difficulty reading from a distance	1
1162	sitting close to tv	1
1163	dry and sore eyes or throat	1
1164	painful crisis	1
1165	developmental and medical complications	1
1166	mobility difficulty	1
1167	coloured nasal mucus	1
1168	nasal voice	1
1169	feeling blocked up	1
1170	vaginal dryness	2
1171	skin abscess	1
1172	runny nose and sore throat	1
1173	breathing pausing	1
1174	gasping, snorting or choking noises during sleep	1
1175	frequent waking during sleep	1
1176	loud snoring	1
1177	morning headache	1
1178	back movement difficulty	1
1179	sciatica	2
1180	loss of sensation	1
1181	scoliosis	2
1182	congenital back abnormalities	1
1183	lower back pain	1
1184	referred pain in bottom or thighs	1
1185	tight hamstrings	1
1186	speech sound prolongation	1
1187	speech pauses	1
1188	frequent filler words in speech	1
1189	avoiding eye contact	1
1190	stammer avoidance	1
1191	avoidance of social situations	1
1192	stammering	1
1193	emotional distress from stammering	1
1194	painful swallowing	1
1195	pain when peeing	1
1196	eye pain and sensitivity	1
1197	burning sensation	1
1198	indigestion and bloating	1
1199	feeling hot to touch	1
1200	peeling skin	1
1201	red or pink skin	1
1202	genital sores	1
1203	sores	1
1204	skin growths	1
1205	rash on hands and feet	1
1206	patchy hair loss	1
1207	frequent severe headaches	1
1208	temporal tenderness	1
1209	jaw pain	2
1210	muscle pain and stiffness	1
1211	jaw ear and temple pain	1
1212	jaw clicking popping or grinding noises	1
1213	temporal headache	1
1214	pain when chewing	1
1215	tendon pain	1
1216	swelling with redness	1
1217	difficulty moving wrist	1
1218	elbow tenderness or swelling	1
1219	forearm pain	1
1220	difficulty straightening arm	1
1221	outer elbow pain	1
1222	arm pain	1
1223	bilateral head pain	1
1224	tension headache sensation	1
1225	scalp tenderness	1
1226	tension headache	1
1227	stiff jaw	1
1228	arm fatigue	1
1229	arm pain and swelling	1
1230	cold hand and arm	1
1231	discoloured hand skin	1
1232	repeated miscarriages	1
1233	neck pain	1
1234	hearing music or singing	1
1235	heart murmur sounds	1
1236	feeding and latching difficulty	1
1237	prolonged feeding	1
1238	excessive drooling during feeds	1
1239	coughing or choking when feeding	1
1240	taking small amount of milk	1
1241	heart shaped tongue	1
1242	difficulty moving tongue	1
1243	tongue movement difficulty	1
1244	sore nipples and breast pain	1
1245	tonsil white patches	1
1246	sensitive teeth	1
1247	tooth spots	1
1248	monocular vision loss	1
1249	unsteady walking	1
1250	facial drooping	1
1251	arm weakness or numbness	1
1252	speech problems	1
1253	vaginal discharge	1
1254	vaginal soreness	2
1255	light touch sensitivity	1
1256	spontaneous pain	1
1257	finger stiffness	1
1258	morning hand pain	1
1259	poor weight gain or growth	1
1260	small stature	1
1261	pink spot rash	1
1262	frequent or urgent bowel movements	1
1263	belly button lump	1
1264	undescended testicle	1
1265	sore tip of penis	1
1266	urine storage problems	1
1267	incomplete bladder emptying	1
1268	lower urinary tract symptoms	1
1269	delirium	1
1270	shivering and shaking	1
1271	lower back and tummy pain	1
1272	blood in pee	1
1273	confusion and drowsiness	1
1274	low temperature	1
1275	dark or smelly urine	1
1276	eye injury	1
1277	itchy and swollen	1
1278	dry flaky skin	1
1279	skin scars	1
1280	red or brown skin discoloration	1
1281	leg swelling	2
1282	leg ulcers	1
1283	skin changes	1
1284	bulging lump	1
1285	slowness of thought	1
1286	memory and language problems	1
1287	severe vertigo	1
1288	lack of energy	1
1289	psychological problems	1
1290	problems with memory and understanding	1
1291	scalp rash	1
1292	white or grey hair	1
1293	white skin patches	1
1294	discoloured skin patch	1
1295	heavy bleeding	1
1296	joint pain swelling and stiffness	1
1297	increased bleeding after surgery	1
1298	vulval pain on touch	1
1299	vulval pain	1
1300	vulval discomfort	1
1301	painful verrucas	1
1302	whooping cough sound	1
1303	thick mucus	1
1304	serious symptoms	1
