symptom_id	core_phrase	character	concept	site	n_conditions
772	reduced sweating		reduced sweating		1
773	regurgitation		regurgitation		1
774	repeated falls	repeated	falls		1
775	repetitive questioning	repetitive	questioning		1
776	responsiveness		responsiveness		2
777	restless legs		restless legs		2
778	restless pain	restless	pain		1
779	restless sleep		restless sleep		1
780	restlessness		restlessness		6
781	rib protrusion in the rib		rib protrusion	rib	1
782	rough skin		rough skin		1
783	rounded shoulders in the shoulders		rounded shoulders	shoulders	1
784	runny nose in the nose		runny nose	nose	8
785	sad		sad		1
786	salty sweat in the skin	salty	sweat	skin	1
787	sandpaper rash in the sandpaper	sandpaper	rash	sandpaper	2
788	satiety		satiety		5
789	scalp crust in the scalp		scalp crust	scalp	1
790	scaly legs in the legs		scaly legs	legs	1
791	scaly scalp in the scalp		scaly scalp	scalp	1
792	scaly skin		scaly skin		4
793	scaly skin crust in the skin	scaly	skin crust	skin	1
794	scaly skin in the skin	scaly	skin	skin	1
795	scaly skin patches in the skin	scaly	skin patches	skin	1
796	scars in the skin		scars	skin	1
797	seizure		seizure		24
798	seizure awareness		seizure awareness		1
799	sensation in the foot		sensation	foot	1
800	sensitivity		sensitivity		4
801	sensitivity in the eye		sensitivity	eye	1
802	sensitivity in the light		sensitivity	light	7
803	sensitivity in the sound		sensitivity	sound	3
804	sensitivity in the teeth		sensitivity	teeth	1
805	sensory changes		sensory changes		1
806	sexual problem		sexual problem		2
807	shadow in the vision		shadow	vision	1
808	shaking		shaking		4
809	shape change in the nose		shape change	nose	1
810	shape changes in the chest		shape changes	chest	1
811	sharp headache in the eye	sharp	headache	eye	1
812	sharp pain	sharp	pain		2
813	sharp pain in the abdomen	sharp	pain	abdomen	1
814	shin pain in the shin		shin pain	shin	1
815	shiny skin	shiny	skin		1
816	shivering		shivering		3
817	shooting pain	shooting	pain		2
818	short stature		short stature		2
819	skin		skin		7
820	skin blister		skin blister		1
821	skin blisters		skin blisters		1
822	skin blotches		skin blotches		1
823	skin boil		skin boil		1
824	skin bump		skin bump		4
825	skin bumps		skin bumps		1
826	skin changes in the skin		skin changes	skin	4
827	skin cold	skin	cold		2
828	skin discoloration	skin	discoloration		9
829	skin discolouration in the ulcer		skin discolouration	ulcer	1
830	skin hole in the anus	skin	hole	anus	1
831	skin in the foot		skin	foot	1
832	skin in the skin		skin	skin	1
833	skin irritation in the anal	skin	irritation	anal	2
834	skin lesion		skin lesion		1
835	skin marks in the skin		skin marks	skin	1
836	skin patches		skin patches		5
837	skin peeling in the skin		skin peeling	skin	1
838	skin rash	skin	rash		12
839	skin rash in the skin		skin rash	skin	2
840	skin spots in the skin		skin spots	skin	4
841	skin thickening in the skin		skin thickening	skin	1
842	skin tingling in the skin		skin tingling	skin	1
843	skin ulcer in the skin		skin ulcer	skin	1
844	sleep difficulty		sleep difficulty		1
845	sleep disturbance		sleep disturbance		2
846	sleep paralysis		sleep paralysis		1
847	sleepiness		sleepiness		3
848	sleepiness in the body		sleepiness	body	2
849	slow breathing		slow breathing		2
850	slow growth		slow growth		2
851	slow growth in the body	slow	growth	body	2
852	slow movement		slow movement		1
853	slow speech	slow	speech		1
854	slowness in the thought		slowness	thought	1
855	slurred speech		slurred speech		14
856	slurred speech in the speech		slurred speech	speech	1
857	small jaw in the lower	small	jaw	lower	1
858	smaller pupil		smaller pupil		1
859	smelly diarrhoea	smelly	diarrhoea		4
860	smelly ulcer in the ulcer		smelly ulcer	ulcer	1
861	smelly urine		smelly urine		1
862	sneezing		sneezing		5
863	social withdrawal		social withdrawal		1
864	sore		sore		1
865	sore eyelids		sore eyelids		2
866	sore eyes in the eye	sore	eyes	eye	3
867	sore eyes in the eyes		sore eyes	eyes	1
868	sore throat in the throat		sore throat	throat	21
869	sore tip in the penis		sore tip	penis	1
870	sore tongue		sore tongue		2
871	soreness in the body		soreness	body	2
872	soreness in the breast		soreness	breast	1
873	soreness in the eye		soreness	eye	1
874	soreness in the eyelid		soreness	eyelid	1
875	soreness in the nipples		soreness	nipples	1
876	soreness in the throat		soreness	throat	1
877	soreness in the vaginal		soreness	vaginal	2
878	sores		sores		1
879	sores in the chest		sores	chest	1
880	sores in the genital		sores	genital	1
881	sores in the skin		sores	skin	1
882	sound		sound		1
883	sour taste	sour	taste		2
884	spasms in the muscle		spasms	muscle	2
885	speech		speech		2
886	speech comprehension		speech comprehension		1
887	speech problem		speech problem		2
888	speech problems		speech problems		2
889	spot		spot		1
890	spots		spots		2
891	spots in the mouth		spots	mouth	1
892	spots in the tooth		spots	tooth	1
893	spotting in the vagina		spotting	vagina	1
894	spotty rash in the spotty	spotty	rash	spotty	1
895	squint		squint		3
896	squinting		squinting		1
897	stabbing pain	stabbing	pain		2
898	stammering		stammering		1
899	stature		stature		1
900	sticky eyes in the eye		sticky eyes	eye	1
901	stiff joints		stiff joints		1
902	stiff muscles		stiff muscles		1
903	stiff neck in the neck		stiff neck	neck	7
904	stiffness		stiffness		1
905	stiffness in the back		stiffness	back	2
906	stiffness in the finger		stiffness	finger	1
907	stiffness in the jaw		stiffness	jaw	1
908	stiffness in the joint		stiffness	joint	10
909	stiffness in the muscle		stiffness	muscle	7
910	stiffness in the shoulder		stiffness	shoulder	1
911	stinging in the mouth		stinging	mouth	1
912	stomach ache		stomach ache		5
913	stomach pain in the stomach		stomach pain	stomach	1
914	stool change		stool change		1
915	strain in the eye		strain	eye	1
916	strange sensation in the limb		strange sensation	limb	1
917	strawberry tongue		strawberry tongue		2
918	stress		stress		3
919	stretch marks in the skin		stretch marks	skin	1
920	stretchy skin in the skin		stretchy skin	skin	1
921	suicidal ideation		suicidal ideation		1
922	sunken eyes		sunken eyes		2
923	swallowing difficulties		swallowing difficulties		1
924	swallowing problem		swallowing problem		1
925	sweating		sweating		5
926	swelling		swelling		15
927	swelling in the anal		swelling	anal	1
928	swelling in the arm		swelling	arm	2
929	swelling in the body		swelling	body	1
930	swelling in the breast		swelling	breast	2
931	swelling in the ear		swelling	ear	1
932	swelling in the elbow		swelling	elbow	1
933	swelling in the face		swelling	face	2
934	swelling in the finger		swelling	finger	1
935	swelling in the gum		swelling	gum	1
936	swelling in the head		swelling	head	1
937	swelling in the hip		swelling	hip	1
938	swelling in the joint		swelling	joint	1
939	swelling in the leg		swelling	leg	15
940	swelling in the limb		swelling	limb	2
941	swelling in the mouth		swelling	mouth	1
942	swelling in the neck		swelling	neck	5
943	swelling in the skin		swelling	skin	2
944	swelling in the stomach		swelling	stomach	1
945	swelling in the testicular		swelling	testicular	2
946	swelling in the throat		swelling	throat	1
947	swelling in the tongue		swelling	tongue	1
948	swelling in the tummy		swelling	tummy	2
949	swelling in the ulcer		swelling	ulcer	1
950	swelling in the unspecified		swelling	unspecified	1
951	swelling variation		swelling variation		1
952	swollen		swollen		1
953	swollen extremities		swollen extremities		2
954	swollen eyelid	swollen	eyelid		1
955	swollen fingers		swollen fingers		4
956	swollen glands		swollen glands		16
957	swollen gums in the gums		swollen gums	gums	1
958	swollen scrotum in the scrotum		swollen scrotum	scrotum	1
959	swollen skin in the skin		swollen skin	skin	2
960	swollen toes		swollen toes		4
961	swollen veins	swollen	veins		2
962	swollen wrists in the wrist		swollen wrists	wrist	1
963	taste		taste		1
964	tears in the eye		tears	eye	1
965	temperature in the skin		temperature	skin	1
966	temperature sensitivity		temperature sensitivity		2
967	tender skin bumps in the skin	tender	skin bumps	skin	1
968	tender skin in the skin		tender skin	skin	1
969	tenderness		tenderness		4
970	tenderness in the body		tenderness	body	2
971	tenderness in the breast		tenderness	breast	2
972	tenderness in the elbow		tenderness	elbow	1
973	tenderness in the eye		tenderness	eye	1
974	tenderness in the face		tenderness	face	2
975	tenderness in the scalp		tenderness	scalp	1
976	tenderness in the shin		tenderness	shin	1
977	tenderness in the temporal		tenderness	temporal	1
978	tenderness in the thigh		tenderness	thigh	1
979	tenderness in the tummy		tenderness	tummy	1
980	tension headache in the head	tension	headache	head	1
981	testicular lump in the testis		testicular lump	testis	1
982	testicular pain in the testis		testicular pain	testis	1
983	testicular swelling in the testis		testicular swelling	testis	1
984	thickened skin in the skin		thickened skin	skin	1
985	thickened thickened skin in the nose	thickened	thickened skin	nose	1
986	thinking problems		thinking problems		1
987	thirst		thirst		1
988	throbbing headache in the head	throbbing	headache	head	1
989	throbbing leg pain in the leg	throbbing	leg pain	leg	1
990	throbbing pain	throbbing	pain		3
991	tight foreskin		tight foreskin		2
992	tight tightness	tight	tightness		1
993	tightness in the chest		tightness	chest	2
994	tingling		tingling		4
995	tingling in the foot		tingling	foot	1
996	tingling in the lips		tingling	lips	1
997	tinnitus		tinnitus		11
998	tiny bumps in the skin		tiny bumps	skin	1
999	tiptoe walking		tiptoe walking		1
1000	tiredness		tiredness		3
1001	tiredness in the body		tiredness	body	1
1002	tooth sensitivity		tooth sensitivity		1
1003	toothache		toothache		3
1004	trapped hair in the skin		trapped hair	skin	1
1005	tremor		tremor		1
1006	tripping		tripping		1
1007	tummy ache in the tummy		tummy ache	tummy	23
1008	twitching in the muscle		twitching	muscle	1
1009	ulcer		ulcer		3
1010	ulcer discharge in the ulcer		ulcer discharge	ulcer	1
1011	ulcer in the mouth		ulcer	mouth	9
1012	ulcer in the skin		ulcer	skin	3
1013	ulcers in the foot		ulcers	foot	1
1014	ulcers in the leg		ulcers	leg	2
1015	uncontrollable movements		uncontrollable movements		1
1016	uncontrolled movements		uncontrolled movements		1
1017	understanding problems		understanding problems		1
1018	undescended testicle in the scrotum	undescended	testicle	scrotum	1
1019	uneven shoulders in the shoulders		uneven shoulders	shoulders	1
1020	unexplained weight loss	unexplained	weight loss		14
1021	unpleasant smell		unpleasant smell		1
1022	unsteady movement		unsteady movement		1
1023	unsteady walking		unsteady walking		1
1024	unusual behaviour		unusual behaviour		1
1025	unusual bleeding	unusual	bleeding		5
1026	unusual bruising	unusual	bruising		5
1027	unusual cry in the throat	unusual	cry	throat	2
1028	unusual shape in the head	unusual	shape	head	1
1029	unwell in the body		unwell	body	3
1030	upset		upset		1
1031	urgency in the bowel		urgency	bowel	1
1032	urinary changes		urinary changes		1
1033	urinary hesitation		urinary hesitation		1
1034	urinary incontinence		urinary incontinence		6
1035	urinary symptoms		urinary symptoms		1
1036	urinary urgency		urinary urgency		15
1037	urine appearance		urine appearance		10
1038	vaginal bleeding		vaginal bleeding		4
1039	vaginal discharge		vaginal discharge		9
1040	vaginal sores in the vaginal		vaginal sores	vaginal	1
1041	varicose veins		varicose veins		3
1042	verrucas		verrucas		1
1043	vertigo		vertigo		2
1044	vision changes		vision changes		15
1045	vision loss		vision loss		10
1046	vision problems		vision problems		11
1047	visual disturbance		visual disturbance		2
1048	visual hallucinations		visual hallucinations		1
1049	visual patterns		visual patterns		1
1050	voice		voice		1
1051	voice change		voice change		1
1052	voice change in the nose		voice change	nose	1
1053	vomiting		vomiting		73
1054	vomiting in the stomach		vomiting	stomach	3
1055	vulval redness in the vulval		vulval redness	vulval	2
1056	walking difficulties		walking difficulties		1
1057	warm itch in the skin	warm	itch	skin	1
1058	warm skin	warm	skin		1
1059	warm skin in the bone	warm	skin	bone	1
1060	warm skin in the skin	warm	skin	skin	1
1061	wart		wart		1
1062	watering eye		watering eye		1
1063	watery eyes		watery eyes		2
1064	watery eyes in the eyes		watery eyes	eyes	7
1065	weak in the leg		weak	leg	1
1066	weakness		weakness		5
1067	weakness in the arm		weakness	arm	1
1068	weakness in the hand		weakness	hand	3
1069	weakness in the limb		weakness	limb	4
1070	weight gain	weight	gain		2
1071	weight loss		weight loss		22
1072	wet nappies in the body	wet	nappies	body	1
1073	wheezing		wheezing		4
1074	white coating in the tongue	white	coating	tongue	1
1075	white glow in the eye		white glow	eye	1
1076	white hair	white	hair		1
1077	white patch in the vulva	white	patch	vulva	1
1078	white patches in the skin	white	patches	skin	1
1079	white patches in the tonsil	white	patches	tonsil	1
1080	worms in the stool		worms	stool	1
1081	worry		worry		1
1082	yawning in the mouth		yawning	mouth	1
1083	yellow raised dots in the iris	yellow	raised dots	iris	1
1084	yellow skin	yellow	skin		1
1085	yellow skin patches in the skin	yellow	skin patches	skin	1
1086	yellow spots	yellow	spots		1
